schedule_id,day,class_id,period_start,period_end,subject_id,subject_name,teacher_id,teacher_name,note,session_label
283,SABTU,7A,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7A | 1 | Program Sekolah
284,SABTU,7B,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7B | 1 | Program Sekolah
285,SABTU,7C,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7C | 1 | Program Sekolah
286,SABTU,7D,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7D | 1 | Program Sekolah
287,SABTU,7E,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7E | 1 | Program Sekolah
288,SABTU,7F,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7F | 1 | Program Sekolah
289,SABTU,7G,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 7G | 1 | Program Sekolah
290,SABTU,8A,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8A | 1 | Program Sekolah
291,SABTU,8B,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8B | 1 | Program Sekolah
292,SABTU,8C,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8C | 1 | Program Sekolah
293,SABTU,8D,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8D | 1 | Program Sekolah
294,SABTU,8E,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8E | 1 | Program Sekolah
295,SABTU,8F,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8F | 1 | Program Sekolah
296,SABTU,8G,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 8G | 1 | Program Sekolah
297,SABTU,9A,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9A | 1 | Program Sekolah
298,SABTU,9B,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9B | 1 | Program Sekolah
299,SABTU,9C,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9C | 1 | Program Sekolah
300,SABTU,9D,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9D | 1 | Program Sekolah
301,SABTU,9E,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9E | 1 | Program Sekolah
302,SABTU,9F,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9F | 1 | Program Sekolah
303,SABTU,9G,1.0,1.0,14.0,Program Sekolah,,Program Sekolah,-,SABTU | 9G | 1 | Program Sekolah
421,,,,,,,,,-,
